round,SR,P,Recall,F1,,
305,0.6295081967213115,0.7516666666666667,0.7454545454545455,0.7485477178423237,,
306,0.630718954248366,0.7520798668885191,0.7458745874587459,0.7489643744821872,,
307,0.6319218241042345,0.7524916943521595,0.7462932454695222,0.7493796526054591,,
308,0.6331168831168831,0.7529021558872305,0.7467105263157895,0.7497935590421139,,
309,0.6310679611650486,0.7516556291390728,0.7454844006568144,0.7485572959604286,,
310,0.632258064516129,0.7520661157024794,0.7459016393442623,0.748971193415638,,
311,0.6334405144694534,0.7524752475247525,0.7463175122749591,0.7493837304847988,,
312,0.6314102564102564,0.7512355848434926,0.7450980392156863,0.7481542247744053,,
313,0.6325878594249201,0.7516447368421053,0.7455138662316476,0.7485667485667487,,
314,0.6305732484076433,0.7524271844660194,0.7463884430176565,0.7493956486704271,,
315,0.6285714285714286,0.7507987220447284,0.7448494453248812,0.7478122513922038,,
316,0.629746835443038,0.7511961722488039,0.745253164556962,0.7482128673550437,,
317,0.6277602523659306,0.75,0.7440758293838863,0.747026169706582,,
318,0.6257861635220126,0.7488076311605724,0.7429022082018928,0.7458432304038005,,
319,0.6269592476489029,0.7492063492063492,0.7433070866141732,0.7462450592885375,,
320,0.625,0.7484276729559748,0.7425897035881436,0.7454972592012529,,
321,0.6261682242990654,0.7488226059654631,0.7429906542056075,0.7458952306489446,,
322,0.6242236024844721,0.7476489028213166,0.7418351477449455,0.7447306791569086,,
323,0.6253869969040248,0.7480438184663537,0.7422360248447205,0.7451286048324239,,
324,0.6265432098765432,0.7484375,0.7426356589147287,0.7455252918287938,,
325,0.6246153846153846,0.7465224111282844,0.74079754601227,0.7436489607390301,,
326,0.6226993865030674,0.7465437788018433,0.7408536585365854,0.7436878347360368,,
327,0.6207951070336392,0.745398773006135,0.7397260273972602,0.7425515660809778,,
328,0.6189024390243902,0.7442572741194488,0.7386018237082067,0.7414187643020594,,
329,0.6200607902735562,0.7446483180428135,0.7389984825493171,0.7418126428027418,,
330,0.6212121212121212,0.7450381679389313,0.7393939393939394,0.7422053231939163,,
331,0.622356495468278,0.7454268292682927,0.7397881996974282,0.7425968109339408,,
332,0.6234939759036144,0.745814307458143,0.7401812688821753,0.7429871114480667,,
333,0.6216216216216216,0.7428571428571429,0.7373134328358208,0.7400749063670411,,
334,0.6227544910179641,0.7432432432432432,0.7377049180327869,0.7404637247569186,,
