round,SR,P,Recall,F1,,
170,0.6,0.815028901734104,0.3810810810810811,0.5193370165745856,,
171,0.6023391812865497,0.8160919540229885,0.38274932614555257,0.5211009174311927,,
172,0.6046511627906976,0.8171428571428572,0.3844086021505376,0.5228519195612432,,
173,0.6069364161849711,0.8181818181818182,0.38605898123324395,0.5245901639344263,,
174,0.603448275862069,0.8135593220338984,0.3850267379679144,0.5226860254083485,,
175,0.6057142857142858,0.8146067415730337,0.38666666666666666,0.5244122965641953,,
176,0.6079545454545454,0.8156424581005587,0.3882978723404255,0.5261261261261261,,
177,0.6045197740112994,0.8111111111111111,0.38726790450928383,0.5242369838420108,,
178,0.601123595505618,0.8121546961325967,0.3828125,0.520353982300885,,
179,0.5977653631284916,0.8131868131868132,0.37948717948717947,0.5174825174825175,,
180,0.5944444444444444,0.8142076502732241,0.37531486146095716,0.5137931034482759,,
181,0.5966850828729282,0.8152173913043478,0.3768844221105528,0.5154639175257731,,
182,0.5989010989010989,0.8162162162162162,0.37844611528822053,0.5171232876712328,,
183,0.6010928961748634,0.8172043010752689,0.38,0.5187713310580204,,
184,0.6032608695652174,0.8181818181818182,0.38154613466334164,0.5204081632653061,,
185,0.6,0.8191489361702128,0.3802469135802469,0.5193929173693086,,
186,0.6021505376344086,0.8201058201058201,0.3817733990147783,0.5210084033613446,,
187,0.5989304812834224,0.8210526315789474,0.3795620437956204,0.519134775374376,,
188,0.601063829787234,0.8219895287958116,0.38106796116504854,0.5207296849087893,,
189,0.5978835978835979,0.8177083333333334,0.3801452784503632,0.5190082644628099,,
190,0.6,0.8186528497409327,0.38164251207729466,0.5205930807248764,,
191,0.6020942408376964,0.8195876288659794,0.38313253012048193,0.522167487684729,,
192,0.5989583333333334,0.8153846153846154,0.38221153846153844,0.5204582651391162,,
193,0.6010362694300518,0.8163265306122449,0.38369304556354916,0.5220228384991844,,
194,0.6030927835051546,0.817258883248731,0.38516746411483255,0.5235772357723578,,
195,0.6,0.8181818181818182,0.38028169014084506,0.5192307692307692,,
196,0.5969387755102041,0.8140703517587939,0.3793911007025761,0.5175718849840256,,
197,0.5989847715736041,0.815,0.3808411214953271,0.5191082802547771,,
198,0.601010101010101,0.8159203980099502,0.3822843822843823,0.5206349206349207,,
199,0.6030150753768844,0.8168316831683168,0.38372093023255816,0.5221518987341771,,
200,0.605,0.7877339901477833,0.3851508120649652,0.5236593059936909,,0.772
201,0.6069651741293532,0.8186274509803921,0.38657407407407407,0.5251572327044024,,
202,0.6039603960396039,0.8146341463414634,0.3856812933025404,0.5235109717868339,,
203,0.6009852216748769,0.8106796116504854,0.3847926267281106,0.521875,,
204,0.5980392156862745,0.8067632850241546,0.3839080459770115,0.5202492211838007,,
205,0.5951219512195122,0.8028846153846154,0.3830275229357798,0.5186335403726707,,
206,0.5922330097087378,0.7990430622009569,0.38215102974828374,0.5170278637770898,,
207,0.5942028985507246,0.8,0.3835616438356164,0.5185185185185185,,
208,0.5913461538461539,0.8009478672985783,0.3797752808988764,0.5152439024390244,,
209,0.5885167464114832,0.8018867924528302,0.37610619469026546,0.5120481927710844,,
210,0.5904761904761905,0.8028169014084507,0.37748344370860926,0.5135135135135135,,
211,0.5924170616113744,0.8037383177570093,0.3788546255506608,0.5149700598802396,,
212,0.5943396226415094,0.8046511627906977,0.3802197802197802,0.5164179104477612,,
213,0.596244131455399,0.8055555555555556,0.3815789473684211,0.5178571428571429,,
214,0.5934579439252337,0.8018433179723502,0.38074398249452956,0.5163204747774481,,
215,0.5953488372093023,0.8027522935779816,0.38209606986899564,0.5177514792899408,,
216,0.5925925925925926,0.7990867579908676,0.3812636165577342,0.5162241887905605,,
217,0.5944700460829493,0.8,0.3826086956521739,0.5176470588235295,,
218,0.5963302752293578,0.8009049773755657,0.3839479392624729,0.5190615835777126,,
219,0.5981735159817352,0.8018018018018018,0.3852813852813853,0.52046783625731,,
220,0.5954545454545455,0.7982062780269058,0.38444924406047515,0.5189504373177843,,
221,0.5972850678733032,0.7991071428571429,0.3857758620689655,0.5203488372093023,,
222,0.5990990990990991,0.8,0.3870967741935484,0.5217391304347827,,
223,0.5964125560538116,0.7964601769911505,0.38626609442060084,0.5202312138728324,,
224,0.59375,0.7929515418502202,0.3854389721627409,0.5187319884726225,,
225,0.5955555555555555,0.793859649122807,0.38675213675213677,0.5201149425287357,,
226,0.5929203539823009,0.7947598253275109,0.386411889596603,0.52,,
227,0.5947136563876652,0.7956521739130434,0.3877118644067797,0.5213675213675213,,
228,0.5964912280701754,0.7965367965367965,0.3890063424947146,0.5227272727272727,,
229,0.5982532751091703,0.7974137931034483,0.39029535864978904,0.5240793201133144,,
230,0.5956521739130435,0.7939914163090128,0.3894736842105263,0.5225988700564972,,
231,0.5930735930735931,0.7905982905982906,0.38865546218487396,0.5211267605633803,,
232,0.5948275862068966,0.7914893617021277,0.389937106918239,0.5224719101123596,,
233,0.592274678111588,0.788135593220339,0.3891213389121339,0.5210084033613446,,
234,0.594017094017094,0.7890295358649789,0.3903966597077244,0.5223463687150839,,
